	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer	FWER
1769362_at	11.2966730060439	11.1413453841301	10.9426936259301	11.2066249494323	11.2464749684456	11.2650723492416	11.126904005368	0.177431016036797	11.2393907557065	0.0298607466202134	0.989991739518323	-0.0145116074786204	0.0145116074786204	0.33978788468521	1	1
1769363_at	2.52127029806958	2.29819127418249	2.37027602295408	2.09767148887208	2.05985006749173	1.99651045620289	2.39657919840205	0.11384180033533	2.0513440041889	0.0511141219953748	1.16829707426359	0.224407168971075	0.224407168971075	0.00870036552424982	1	1
1769364_at	1.48986514263775	1.43163047835301	1.48986514263775	1.31437268502491	1.30998362151032	1.27778902268286	1.47045358787617	0.033621799100962	1.30071510973936	0.0199754867381386	1.13049627613753	0.176956239849932	0.176956239849932	0.00167603923238662	1	1
1769365_at	10.490087797453	10.4039100578265	10.1052431979384	11.2089389788956	11.1230453384748	11.161988703419	10.3330803510726	0.201962810841544	11.1646576735965	0.0430089748487508	0.925516988802044	-0.111668622419273	0.111668622419273	0.0022213912669956	1	1
1769366_at	6.40406094861224	6.60828011004296	6.64974818324546	5.4727878781042	5.24757921010303	5.1111458015209	6.55402974730022	0.131521407796293	5.27717096324271	0.182628042149283	1.24195895735637	0.31261749803762	0.31261749803762	0.000601323126682031	1	1
1769367_at	1.99823637771859	2.10905371154455	1.70842811551793	1.67363596889673	1.8350577901534	1.51834685543533	1.93857273492702	0.206869596005046	1.67568020482849	0.158365363062467	1.15688705359233	0.210248021596479	0.210248021596479	0.155419873173146	1	1
1769368_at	8.38279774026899	8.38726733532298	8.49482587165163	8.98838506596298	9.04921987971544	8.99568218453873	8.42163031574787	0.0634285927089063	9.01109571007238	0.0332174836209261	0.934584493019464	-0.0976029952296084	0.0976029952296084	0.000140483602027523	1	1
1769369_at	1.87012655603511	2.30371150540676	2.07900693485305	1.52465782564317	1.87012655603511	1.81822870500291	2.08428166543164	0.216840596216233	1.73767102889373	0.186290942626684	1.19946850167524	0.262395272617939	0.262395272617939	0.103648767278339	1	1
1769370_at	1.32442777083159	1.41571785128122	1.23285904789359	1.45403760561416	1.39528231036605	1.51087861678752	1.32433489000213	0.091429437077045	1.45339951092258	0.0578007948751414	0.911198111771403	-0.134163337460362	0.134163337460362	0.107636276227308	1	1
1769371_at	10.2746369131766	10.2658788090318	10.1905386227917	9.91217296368022	9.86532360822307	9.78896585092924	10.2436847816667	0.0462337728227743	9.85548747427751	0.0621897122227984	1.03938895040985	0.055735627122445	0.055735627122445	0.000971025294700065	1	1
1769372_at	1.37732342754051	1.69050920069548	1.25979160408941	1.59282117500152	1.38429662475612	1.43030544099937	1.44254141077513	0.222641979441032	1.46914108025234	0.109552622838988	0.981894407668027	-0.0263602085597598	0.0263602085597598	0.861736684145497	1	1
1769373_at	7.49963244037852	7.35845145314153	7.49055820164352	7.24274783298558	7.27590564279043	7.3986801717458	7.44954736505452	0.0790217332611712	7.30577788250727	0.0821461295319704	1.01967887401717	0.0281148778767634	0.0281148778767634	0.0942532701491724	1	1
1769374_at	7.88840675061795	8.00898404689901	8.04865772818783	7.44890608838284	7.32525903182545	7.36832205693093	7.98201617523493	0.0834598318330041	7.38082905904641	0.062765177250319	1.08145251859636	0.112970324856688	0.112970324856688	0.000568263985117381	1	1
1769375_at	10.1878368254052	10.0233289003205	9.91759336620101	9.27211764007003	9.36430081507526	9.46783528770353	10.0429196973089	0.136182712947137	9.36808458094961	0.0979136714761616	1.07203554905254	0.10035274683249	0.10035274683249	0.00222924807320245	1	1
1769376_at	1.20812193641021	1.38670358813242	1.24802416694626	1.23017213310914	1.27486818921989	1.43446446226411	1.28094989716296	0.0937332884608532	1.31316826153105	0.107396511080065	0.975465166717844	-0.0358377389169058	0.0358377389169058	0.715406357960762	1	1
