probe_id	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fdr
1777728_at	1.72017148403281	1.6187876976128601	1.7580021278905	1.7535937657525802	1.89806659395764	1.70760644398517	1.6989871031787234	0.07198435867263255	1.7864222678984634	0.09938334919261194	0.9510557126996642	-0.07239823846897436	0.07239823846897436	0.28471452787379975	0.9111215630145474
1777729_at	1.3718021191289198	1.2375261571061202	1.09945857424401	1.26808325920503	1.3465259788849597	1.16959299717726	1.2362622834930166	0.13617617134617258	1.2614007450890832	0.08865558076160049	0.9800709951266984	-0.029041834835659107	0.029041834835659107	0.8019822597680888	0.939566091594352
1777730_s_at	2.44350057868797	2.7183635721974597	2.7110165289704704	2.465086615358	2.72334103699294	2.5553473519196	2.624293559951967	0.15661440328650386	2.5812583347568467	0.13106246925490678	1.0166721883724876	0.023854577478275067	0.023854577478275067	0.7335940569341569	0.9247402197685634
1777731_at	7.32940418721933	7.7938259106827905	7.48202594934203	7.28629652837752	7.6383821172710595	7.369360373481769	7.535085349081384	0.2367136650717869	7.4313463397101165	0.18404553915695432	1.0139596520777032	0.020000245136572854	0.020000245136572854	0.5812947076979355	0.9111215630145474
1777732_at	1.34823454253806	1.77910466099262	1.27129535779295	1.25805700929514	1.54835402682961	1.65489886511201	1.4662115204412098	0.2736905142499532	1.4871033004122534	0.20538890731252937	0.9859513592867073	-0.020411620136905496	0.020411620136905496	0.9208728752575233	0.9777965715422372
1777733_at	8.97473713949406	9.672525212183949	9.475773966770928	9.047925011381071	9.61162592467625	8.84342422136115	9.37434543948298	0.3597816813123191	9.167658385806158	0.397851134166372	1.022545239468873	0.032164672324586537	0.032164672324586537	0.5410504507969831	0.9111215630145474
1777734_at	1.33964684863705	1.17151777732704	1.22931593053777	1.13856604054944	1.22931593053777	1.20380160303134	1.2468268521672867	0.08542142844232892	1.19056119137285	0.04680135691289531	1.0472597806833903	0.06661935804309195	0.06661935804309195	0.3736683485195593	0.9111215630145474
1777735_at	1.5980363655281398	2.08033087335532	1.83407132442859	1.5762823038220701	1.92182692932316	2.02730656156499	1.8374795211040167	0.24116531658490886	1.8418052649034067	0.23592015672790367	0.9976513565892011	-0.003392361486527308	0.003392361486527308	0.9833455374103861	0.9951161064566839
1777737_at	5.72441315882259	3.90375113470401	4.16263833373993	5.592119218716499	4.242695774015339	5.824749828986991	4.596934209088843	0.9849681375687745	5.219854940572944	0.8542009586738759	0.8806632102661981	-0.18333769637139005	0.18333769637139005	0.4544415583295844	0.9111215630145474
1777738_at	10.404692233738402	9.85081504165157	9.74382958522495	10.3161788273978	9.800038768625669	10.394010400179301	9.999778953538309	0.3547217858174254	10.170075998734257	0.3228158951790287	0.9832550862729892	-0.024362350793329497	0.024362350793329497	0.5718243530536289	0.9111215630145474
